"country","iso_country_code","year","civic_activism","se_civicactivism","intergroup_cohesion","se_intergroupcohesion","clubs_and_associations","se_clubsassociations","interpersonal_safety_and_trust","se_safetytrust","gender_equality","se_genderequality","inclusion","se_inclusion"
"Cote d'Ivoire","CIV","2010",0.4961641,0.0045558,0.5835682,0.0057317,,,0.2315338,0.0934138,0.5289267,0.0082373,,
"Croatia","HRV","2010",0.5311071,0.0423201,0.7529407,0.0053679,0.4550312,0.1029802,0.5547361,0.069527,0.8814213,0.0301047,0.5435188,0.0191552
"Cuba","CUB","2010",0.4526004,0.0284233,0.7378889,0.0044951,,,0.4813433,0.0537637,0.8587345,0.0564939,,
"Cyprus","CYP","2010",0.552476,0.0289189,0.7259447,0.0094803,0.379999,0.0643415,0.5708496,0.2063841,0.8024765,0.0302487,0.4812144,0.0135077
"Czech Republic","CZE","2010",0.5630981,0.0149903,0.7594243,0.0047569,0.4771855,0.1522128,0.5474469,0.0613758,0.8146753,0.0230745,0.5293858,0.0133968
"Denmark","DNK","2010",0.6034289,0.0248152,0.7445761,0.008164,0.6226419,0.1112254,0.6374569,0.0509387,0.9738618,0.0448839,0.5946016,0.0172424
"Djibouti","DJI","2010",0.4149815,0.019103,,,,,,,0.6234178,0.0348528,,
"Dominica","DMA","2010",,,,,,,,,,,,
"Dominican Republic","DOM","2010",0.4880698,0.0215076,0.7438053,0.0052597,0.6330878,0.0890942,0.3905672,0.0778365,0.7425552,0.0359999,0.4535269,0.0169957
"Ecuador","ECU","2010",0.4971066,0.0075896,0.6532466,0.0054262,0.4520418,0.1155003,0.3944704,0.071327,0.7150893,0.0390394,0.4102721,0.0067266
"Egypt, Arab Rep.","EGY","2010",0.5081648,0.0254616,0.6020977,0.0032375,0.462382,0.0044241,0.5163983,0.1071676,0.5702059,0.0329094,0.4480099,0.019106
"El Salvador","SLV","2010",0.4632447,0.0153054,0.7223562,0.0037038,0.4884563,0.0737836,0.2899418,0.0895231,0.743952,0.0203876,0.5046828,0.0219796
"Equatorial Guinea","GNQ","2010",,,0.6600654,0.0119904,,,0.2866317,0.0465136,0.6071436,0.0334005,,
"Eritrea","ERI","2010",0.4451477,0.0653876,0.7003676,0.0058023,,,,,0.640393,0.0395136,,
"Estonia","EST","2010",0.5576116,0.0342339,0.7505109,0.0076092,0.4480833,0.0679519,0.5129204,0.0722632,0.9963664,0.0285985,0.4717415,0.0246582
"Ethiopia","ETH","2010",0.4284782,0.0277956,0.5669624,0.003113,0.5937333,,0.4124486,0.029798,0.537199,0.0836058,0.4888154,0.0204504
"Faeroe Islands","FRO","2010",,,,,,,,,,,,
"Fiji","FJI","2010",0.5280285,0.0242911,,,,,0.5157129,0.1367139,0.7096719,0.0441692,,
"Finland","FIN","2010",0.6493115,0.0169641,0.7784918,0.0073212,0.5422014,0.0526782,0.6347388,0.0560411,0.9765749,0.0310224,0.5979945,0.0134893
"France","FRA","2010",0.6007738,0.0457866,0.707461,0.008938,0.5506902,0.1089383,0.5401694,0.0800712,0.9584994,0.0283144,0.5196718,0.0189969
"French Polynesia","PYF","2010",,,,,,,,,,,,
"Gabon","GAB","2010",0.4673375,0.0062189,0.7062915,0.0058759,,,0.3458488,0.0153126,0.6586048,0.0459475,,
"Gambia, The","GMB","2010",0.5077764,0.0318534,0.7457253,0.0036392,,,,,0.6796764,0.0370397,,
"Georgia","GEO","2010",0.469295,0.0430839,0.6607456,0.0019155,0.4117818,0.193289,0.4664825,0.0662934,0.8034058,0.0460356,0.4729359,0.0107335
"Germany","DEU","2010",0.603978,0.0370985,0.7505662,0.0041367,0.5542861,0.095183,0.5690533,0.0433605,0.9270739,0.0714977,0.5384594,0.0088032
"Ghana","GHA","2010",0.5144737,0.0174397,0.720553,0.0020322,0.5591654,0.0240334,0.417028,0.0481594,0.6843467,0.064236,0.4555228,0.0122114
"Greece","GRC","2010",0.5517117,0.0325317,0.6359216,0.0161569,0.514655,,0.5247516,0.0562659,0.7894165,0.0293145,0.536208,0.0100035
"Greenland","GRL","2010",,,,,,,,,,,,
"Grenada","GRD","2010",,,,,,,,,0.7960464,0.0460256,,
"Guam","GUM","2010",,,,,,,,,,,,
"Guatemala","GTM","2010",0.4979627,0.0185481,0.6421766,0.003381,0.6044993,0.1165192,0.3188061,0.0839371,0.676628,0.0244159,0.4025607,0.0184601
"Guinea","GIN","2010",0.4507963,0.01708,0.5576078,0.0071678,,,,,0.6225466,0.0628459,0.4590554,0.0278334
"Guinea-Bissau","GNB","2010",,,0.6145469,0.0136656,,,,,0.5747374,0.0272118,,
"Guyana","GUY","2010",0.5137461,0.0242672,0.681961,0.0043027,,,0.3132917,0.0395941,0.7045945,0.0295474,0.3902078,0.0103155
"Haiti","HTI","2010",0.4218209,0.0131453,0.5882067,0.0027427,,,,,0.5932199,0.033673,,
"Honduras","HND","2010",0.4867789,0.0149939,0.6842561,0.0093012,0.6797249,0.064231,0.3290657,0.0691673,0.7490385,0.0578159,0.4485065,0.0196283
"Hong Kong, China","HKG","2010",0.6126977,0.0380249,,,0.4459041,,0.6479488,0.0439941,0.7982994,0.0213152,0.582986,0.0121418
"Hungary","HUN","2010",0.5302854,0.0225447,0.7568402,0.004362,0.4847359,0.1919232,0.5147581,0.0450297,0.9262196,0.0277355,0.5078679,0.020676
"Iceland","ISL","2010",0.6038146,0.0498287,0.7802022,0.0067371,0.6576534,,0.6368879,0.0492313,0.9697827,0.0348042,0.6485052,0.0111311
"India","IND","2010",0.4967229,0.056943,0.5205625,0.0136499,0.5692335,0.0825499,0.5269108,0.0746348,0.6178376,0.0315327,0.3765086,0.013047
"Indonesia","IDN","2010",0.5132129,0.0276272,0.6447808,0.0084365,0.7093903,0.0654287,0.4738026,0.0934657,0.6727016,0.0212303,0.40088,0.0246054
"Iran, Islamic Rep.","IRN","2010",0.5041324,0.0158729,0.6170201,0.0045583,0.3196933,,0.565796,0.0140051,0.5696929,0.0586649,0.4188641,0.0125944
"Iraq","IRQ","2010",0.4981784,0.0202573,0.182564,0.0144792,,,0.3723839,0.1336306,0.5080076,0.0517054,0.4036882,0.0204748
"Ireland","IRL","2010",0.5504615,0.0145661,0.7708879,0.0064425,0.6666508,,0.5932662,0.0448611,0.9205629,0.0355274,0.5661249,0.0112991
"Isle of Man","IMN","2010",,,,,,,,,,,,
"Israel","ISR","2010",0.5407724,0.0481506,0.6215837,0.0060719,0.6566433,,0.4810795,0.1083017,0.833592,0.0184505,0.4490012,0.0312891
"Italy","ITA","2010",0.5949289,0.0362989,0.7325777,0.0074858,0.5251799,0.0395057,0.4922198,0.0653077,0.8845391,0.0424564,0.5672488,0.0146675
"Jamaica","JAM","2010",0.5043737,0.0169044,0.7134473,0.0049343,,,0.2435091,0.0620184,0.8949667,0.0397171,,
"Japan","JPN","2010",0.6145963,0.0250243,0.7743855,0.0065167,0.4173166,0.0280392,0.6055047,0.0326834,0.6723092,0.0119537,0.5909594,0.0117707
"Jordan","JOR","2010",0.4838379,0.013041,0.6919816,0.0042134,0.2892734,,0.5404677,0.0828101,0.5851085,0.0540813,0.3899147,0.0149881
"Kazakhstan","KAZ","2010",,,0.7563593,0.0049353,,,0.4273531,0.0584305,0.9525527,0.0644056,0.4494587,0.0215603
"Kenya","KEN","2010",0.4905002,0.0323461,0.6019329,0.0086324,0.7321578,,0.2904398,0.0648963,0.592796,0.0652449,0.4336329,0.0125647
"Kiribati","KIR","2010",,,,,,,,,,,,
"Korea, Dem. Rep.","PRK","2010",0.4272378,0.0249924,0.7131688,0.0103047,,,,,0.7306663,0.0160157,,
"Korea, Rep.","KOR","2010",0.5715383,0.0248919,0.7300274,0.0074565,0.509828,0.0372554,0.5822986,0.0534205,0.7124593,0.0367945,0.5732117,0.0182508
"Kuwait","KWT","2010",0.5150904,0.0264716,0.7042876,0.0045455,,,0.6074447,0.0134988,0.5071056,0.0608042,,
"Kyrgyz Republic","KGZ","2010",0.4457358,0.0262345,0.5996746,0.0052551,0.3630031,0.106988,0.4240427,0.0255319,0.7946606,0.0404621,0.4501042,0.0148066
"Lao PDR","LAO","2010",0.4482737,0.0372573,0.7284189,0.002837,,,,,0.8060557,0.0722774,,
"Latvia","LVA","2010",0.53894,0.0193246,0.7363103,0.0059797,0.3546258,0.0346487,0.485044,0.0634969,0.9784626,0.0316727,0.4954505,0.016637
"Lebanon","LBN","2010",0.5062234,0.0073038,0.4597212,0.0173917,,,0.3637661,0.1291455,0.6155591,0.0440895,0.4287972,0.0081991
"Lesotho","LSO","2010",0.4668836,0.0277627,,,0.4833732,0.1169323,0.3674811,0.0340371,0.8760756,0.0971545,0.4807465,0.0110365
"Liberia","LBR","2010",0.4521167,0.012071,0.685942,0.0018827,0.494235,,0.2952329,0.020409,0.7346791,0.0530735,0.4054626,0.008753
"Libya","LBY","2010",0.4489253,0.009539,0.7444983,0.0062709,,,0.569725,0.0941692,0.6128491,0.0378658,,
"Liechtenstein","LIE","2010",,,,,,,,,,,,
"Lithuania","LTU","2010",0.5276196,0.0116012,0.727012,0.0109655,0.3781368,0.0124025,0.4707027,0.0613365,1.0166,0.0305418,0.4818972,0.0052718
"Luxembourg","LUX","2010",0.6031874,0.0285935,0.7825403,0.0065595,0.6518087,,0.5675496,0.0270725,0.9192286,0.0532189,0.5882854,0.0097921
"Macao, China","MAC","2010",0.5635816,0.1095526,,,,,,,0.7906888,0.0419272,,
"Macedonia, FYR","MKD","2010",0.5478293,0.0662174,0.6538692,0.0038288,0.4816262,0.0905914,0.5049364,0.0583959,0.7432653,0.0332385,0.458496,0.0083376
"Madagascar","MDG","2010",0.45679,0.0117867,0.6803399,0.0067219,0.230496,,0.4056966,0.0462015,0.7797307,0.0511221,0.4470133,0.0164398
"Malawi","MWI","2010",0.4685417,0.0277073,0.6752518,0.0098357,0.7848656,,0.3341179,0.0302831,0.6817918,0.0760193,0.3931188,0.0096973
"Malaysia","MYS","2010",0.5267335,0.0120564,0.725652,0.0023782,,,0.5159572,0.0668751,0.7789085,0.0469987,0.4414592,0.0081839
"Maldives","MDV","2010",0.50506,0.0789329,,,,,,,0.5646566,0.0504733,,
"Mali","MLI","2010",0.4981033,0.0205328,0.6477978,0.009648,0.5785369,0.1378675,0.43604,0.0532641,0.5301453,0.0340812,0.464413,0.0131846
"Malta","MLT","2010",0.560424,0.0391564,0.7649668,0.0067284,0.4960065,0.1604329,0.5817572,0.0417709,0.7193691,0.0604435,0.5019047,0.0142614
"Marshall Islands","MHL","2010",,,,,,,,,,,,
"Mauritania","MRT","2010",0.4499871,0.0214664,0.6144961,0.0143404,,,,,0.6033944,0.0235022,,
"Mauritius","MUS","2010",0.5331889,0.0320659,,,,,0.5075917,0.0559097,0.7552966,0.041107,,
"Mayotte","MYT","2010",,,,,,,,,,,,
"Mexico","MEX","2010",0.5161077,0.0246192,0.5811788,0.0189641,0.5426016,0.0647637,0.4000025,0.0783761,0.786676,0.0416937,0.446522,0.0139776
"Micronesia, Fed. Sts.","FSM","2010",0.3797132,0.0410709,,,,,,,,,,
"Moldova","MDA","2010",0.4704114,0.0202782,0.7095945,0.003126,0.409155,,0.4104102,0.0263593,0.9353743,0.0511626,0.4790876,0.0124546
"Monaco","MCO","2010",,,,,,,0.5470704,0.0221908,,,,
"Mongolia","MNG","2010",0.4590812,0.0358236,0.7325353,0.0059705,0.4249763,,0.4325842,0.0307661,0.9351932,0.0345202,,
"Morocco","MAR","2010",0.4869827,0.0156844,0.6233351,0.0066051,0.3577387,,0.5723984,0.101556,0.6285906,0.0392422,0.4323971,0.0118363
"Mozambique","MOZ","2010",0.4758949,0.0178661,0.7278765,0.0075466,0.4408348,0.0328832,0.3451123,0.0445356,0.6194754,0.0956998,0.4605959,0.0118626
"Myanmar","MMR","2010",0.4021209,0.0106709,0.5811227,0.0145904,,,0.5208504,0.0916547,0.7122216,0.0438811,0.3642034,0.0237942
"Namibia","NAM","2010",0.5245808,0.0358904,0.7299541,0.0055266,0.4979757,0.0304605,0.3629616,0.0664129,0.753003,0.0657074,0.4251803,0.0211139
"Nepal","NPL","2010",0.4916058,0.011561,0.5657483,0.0142432,,,,,0.5813191,0.0448016,,
"Netherlands","NLD","2010",0.6172847,0.033346,0.7518668,0.0043913,0.5905402,0.1326318,0.5671575,0.0615698,0.9060732,0.0384085,0.5204902,0.0185696
"Netherlands Antilles","ANT","2010",,,,,,,,,1.023933,0.0479079,,
"New Caledonia","NCL","2010",,,,,,,,,0.8395331,0.0705588,,
"New Zealand","NZL","2010",0.6080107,0.033806,0.7757637,0.0059371,0.6278322,0.081223,0.5411551,0.063786,0.9578928,0.0287545,0.5390944,0.0213077
"Nicaragua","NIC","2010",0.4814732,0.0178839,0.7185735,0.0059273,0.5963917,0.0871993,0.3748673,0.0509834,0.7096173,0.0210817,0.4544288,0.0174239
"Niger","NER","2010",0.4285512,0.006418,0.5750344,0.0187278,,,,,0.5514297,0.0394087,0.3991015,0.0097998
"Nigeria","NGA","2010",0.4983372,0.0240547,0.2040201,0.0132954,0.6508372,0.0761573,0.3744747,0.1095624,0.47464,0.01877,0.3106538,0.0199566
"Northern Mariana Islands","MNP","2010",,,,,,,,,,,,
"Norway","NOR","2010",0.6610675,0.0186634,0.7853045,0.0070598,0.5520885,0.0410941,0.6489965,0.0446039,0.9685212,0.0426205,0.591206,0.0110536
"Oman","OMN","2010",0.4824564,0.0295715,0.7584006,0.0052272,,,0.6453401,0.0491729,0.6585644,0.0554475,,
"Pakistan","PAK","2010",0.473008,0.031576,0.3999506,0.0121909,0.296542,,0.3294269,0.0856173,0.4222947,0.0341,0.3197152,0.0222298
"Palau","PLW","2010",,,,,,,,,,,,
"Panama","PAN","2010",0.5049627,0.0172686,0.7338354,0.0025754,0.451988,0.0335156,0.4373047,0.0649621,0.8729492,0.0529258,0.4197117,0.0162067
"Papua New Guinea","PNG","2010",0.4359837,0.017257,0.6481351,0.0098602,,,0.2394099,0.0628321,0.7471743,0.0511758,0.3874295,0.0207678
"Paraguay","PRY","2010",0.4976786,0.0192761,0.6719968,0.0103472,0.4867282,0.0452928,0.3989064,0.0203798,0.7996513,0.0476056,0.4739651,0.0162641
"Peru","PER","2010",0.519841,0.0179257,0.570774,0.0082515,0.4785526,0.0422735,0.3990653,0.0477594,0.7833621,0.0154166,0.4485003,0.0151824
"Philippines","PHL","2010",0.5077696,0.0249103,0.5396392,0.0107199,0.6226564,0.0730877,0.4636088,0.0981022,0.8883527,0.0681763,0.4384687,0.0070773
"Poland","POL","2010",0.5465718,0.034296,0.7480145,0.0046098,0.3848938,0.0491279,0.5022666,0.0571936,0.8949388,0.0254095,0.5291207,0.019826
"Portugal","PRT","2010",0.5370235,0.0206978,0.7306439,0.0054822,0.4317368,,0.5222979,0.0568777,0.9599463,0.0159577,0.5917207,0.0142643
"Puerto Rico","PRI","2010",,,,,0.5721368,,,,0.8469659,0.0567454,,
"Qatar","QAT","2010",0.4954304,0.0651113,0.7525533,0.0068191,,,0.6345245,0.0421391,0.5283622,0.074334,,
"Romania","ROU","2010",0.5153555,0.014045,0.742247,0.003374,0.3614621,0.17427,0.4703653,0.0538196,0.808471,0.0235134,0.5020122,0.0196321
"Russian Federation","RUS","2010",0.5118088,0.0203006,0.6055821,0.0102209,0.3336848,0.0868881,0.4131508,0.0748993,0.9590303,0.0518631,0.4834866,0.0124049
"Rwanda","RWA","2010",0.4572337,0.0131577,0.6208717,0.0079021,0.4895697,,0.4865087,0.0566177,0.8261798,0.0861387,0.4456492,0.0274514
"Samoa","WSM","2010",0.54961,0.0629969,,,,,,,0.78466,0.0494219,,
"San Marino","SMR","2010",,,,,,,,,0.8963985,0.0597584,,
"Sao Tome and Principe","STP","2010",0.4589002,0.0877937,,,,,,,0.6738346,0.0162673,,
"Saudi Arabia","SAU","2010",0.4736106,0.02493,0.6633341,0.0087312,0.6064247,,0.5158916,0.1229078,0.5255148,0.0568878,0.4535691,0.0149884
"Senegal","SEN","2010",0.5111642,0.0205592,0.6828855,0.0043596,0.5514895,,0.4855373,0.077213,0.578442,0.0330468,0.4487303,0.0119939
"Serbia and Montenegro","SRB","2010",0.4877662,0.0170402,0.6950178,0.0071114,0.4032093,,0.4210478,0.0510601,0.9491788,0.0466354,0.4434126,0.0078563
"Seychelles","SYC","2010",0.7519507,0.1485622,,,,,,,0.9116315,0.0330316,,
"Sierra Leone","SLE","2010",0.4582087,7.4E-4,0.6797619,0.0061055,,,,,0.6080685,0.0948597,0.4274019,0.0160713
"Singapore","SGP","2010",0.5734193,0.0206029,0.7713801,0.0057316,0.4488609,,0.6062029,0.0986835,0.7985411,0.0288524,0.5381516,0.0224752
"Slovak Republic","SVK","2010",0.5113662,0.0103732,0.7628331,0.0053119,0.3227176,0.1672368,0.5027669,0.0501855,0.8316945,0.0234073,0.5121079,0.014628
"Slovenia","SVN","2010",0.5241472,0.0150926,0.7664748,0.0053492,0.48964,0.0285022,0.6134681,0.0605207,0.9888666,0.017251,0.5134295,0.0172166
"Solomon Islands","SLB","2010",0.4594989,0.0277803,,,,,,,0.5368539,0.015596,,
"Somalia","SOM","2010",,,0.2282555,0.0257154,,,,,,,0.4449081,0.0259755
"South Africa","ZAF","2010",0.5198141,0.029234,0.7170575,0.0021184,0.5559075,0.0940697,0.3281441,0.0287143,0.6933314,0.03872,0.3954254,0.0097586
"Spain","ESP","2010",0.5695392,0.0250152,0.7216948,0.003592,0.4588308,0.0610348,0.5556589,0.0673316,0.9327707,0.0319932,0.5668596,0.0158739
"Sri Lanka","LKA","2010",0.5000178,0.0217285,0.5657974,0.0114682,,,0.3874228,0.056392,0.7092962,0.0478503,0.3332802,0.0148629
"St. Kitts and Nevis","KNA","2010",,,,,,,,,,,,
"St. Lucia","LCA","2010",,,,,,,,,0.7957792,0.0451908,,
"St. Vincent and the Grenadines","VCT","2010",0.5356676,0.0931083,,,,,,,0.8034472,0.0480677,,
"Sudan","SDN","2010",0.4504407,0.0169038,0.41119,0.0240165,,,0.2950422,0.0601682,0.5107601,0.0137601,0.2842041,0.0220573
"Suriname","SUR","2010",0.4828055,0.0474216,0.7038202,0.0015544,,,,,0.6877398,0.0229427,,
"Swaziland","SWZ","2010",0.4829312,0.021678,0.729234,0.0039628,0.3909607,,0.3207952,0.0466313,0.6023827,0.0709629,,
"Sweden","SWE","2010",0.6792277,0.0191972,0.7874125,0.0070827,0.5724338,0.0577494,0.6181191,0.0522747,0.9490266,0.0435169,0.6255283,0.0128381
"Switzerland","CHE","2010",0.6490919,0.0166204,0.7889097,0.0071055,0.5925357,0.0347335,0.6522735,0.0461302,0.8333048,0.0306263,0.568278,0.0234829
"Syrian Arab Republic","SYR","2010",0.4451159,0.0183315,0.7043895,0.008856,,,0.5263401,0.0958742,0.5699829,0.042796,0.3986015,0.0065119
"Taiwan, China","TWN","2010",0.5630897,0.0434847,0.757504,0.0057713,,,,,,,0.5698262,0.0225176
"Tajikistan","TJK","2010",,,0.658838,0.0060543,,,0.5216877,0.063609,0.6865935,0.0288813,,
"Tanzania","TZA","2010",0.4978824,0.036719,0.7001628,0.0020373,0.6574152,0.1111906,0.4132925,0.0660736,0.6442294,0.0753192,0.4366504,0.0193673
"Thailand","THA","2010",0.5110778,0.0298575,0.5611919,0.0076336,,,0.5106028,0.0726073,0.8108752,0.0266973,0.4293128,0.020733
"Timor-Leste","TLS","2010",,,,,,,,,0.6218986,0.0141289,,
"Togo","TGO","2010",0.4394649,0.027856,0.7157697,0.0038788,,,,,0.5895396,0.0286194,0.4583722,0.0223183
"Tonga","TON","2010",0.4869448,0.0596259,,,,,,,0.6785395,0.0254576,,
"Trinidad and Tobago","TTO","2010",0.5180473,0.0044975,0.706877,0.0034941,,,0.3784091,0.0638325,0.8832676,0.0324907,0.4352252,0.0014314
"Tunisia","TUN","2010",0.4952118,0.0163514,0.7259613,0.0025835,0.269816,,0.438662,0.0815342,0.6143504,0.0349562,,
"Turkey","TUR","2010",0.5362095,0.0571405,0.6413046,0.0075052,0.4761568,0.0686456,0.5033378,0.0776812,0.618947,0.0357815,0.398378,0.0188288
"Turkmenistan","TKM","2010",0.3986436,0.0363108,0.7038327,0.0015478,,,,,0.8833012,0.0548999,,
"Uganda","UGA","2010",0.4943826,0.0256182,0.5565766,0.0059038,0.5924264,0.0785563,0.3875412,0.0540325,0.5943784,0.0616663,0.3939562,0.0158766
"Ukraine","UKR","2010",0.5090722,0.0098583,0.7365332,0.0036799,0.3261033,0.0188125,0.4473274,0.0558166,0.8861797,0.0385869,0.5211924,0.0086681
"United Arab Emirates","ARE","2010",0.4817818,0.0277116,0.7478581,0.0037102,,,0.6788147,0.0547402,0.528795,0.053773,,
"United Kingdom","GBR","2010",0.6170316,0.0282518,0.7104207,0.0082193,0.5562824,0.0860254,0.5423002,0.0686163,0.8995144,0.0281658,0.5424592,0.0081799
"United States","USA","2010",0.6401241,0.038625,0.7327986,0.0055802,0.6955352,0.0633651,0.5442377,0.0577417,0.9476959,0.0292566,0.5579073,0.0166392
"Uruguay","URY","2010",0.5365179,0.0304444,0.745946,0.0046774,0.3724926,0.0832806,0.4414981,0.0442874,0.8834797,0.0514687,0.5512445,0.0141198
"Uzbekistan","UZB","2010",0.4175417,0.0094928,0.6204277,0.0095201,,,0.4704919,0.0573933,0.7162375,0.0303389,,
"Vanuatu","VUT","2010",0.4588702,0.0410836,,,,,,,0.7743222,0.0283452,,
"Venezuela, RB","VEN","2010",0.519836,0.0214041,0.6444806,0.0077028,0.5296307,0.0756113,0.2707385,0.0823607,0.8365045,0.0423795,0.457076,0.0165427
